cluster_id,rank,query,official_name,decision,conf,nli_entail_prob,sbert_score,bm25_score,ministry,recent_revision_date,evidence_article,cluster_keywords,cluster_rep_texts
12,2,"핵심 키워드: 수급자, 청년성장프로젝트, 견학, 성공취업, 34세, 20명, 이동, 관심있, 집결, 참여자, 기념품, 그리다, 우수자, 청년모아, 수료식.",공문서에 대한 아포스티유 및 본부영사확인서 발급에 관한 규정 시행규칙,보류,0.5146,0.6342,0.3337,0.0,공문서에 대한 아포스티유 및 본부영사확인서 발급에 관한 규정 시행규칙,20250819,,"수급자, 청년성장프로젝트, 견학, 성공취업, 34세, 20명, 이동, 관심있, 집결, 참여자, 기념품, 그리다, 우수자, 청년모아, 수료식",
12,3,"핵심 키워드: 수급자, 청년성장프로젝트, 견학, 성공취업, 34세, 20명, 이동, 관심있, 집결, 참여자, 기념품, 그리다, 우수자, 청년모아, 수료식.",공무원연금법 시행령,보류,0.4241,0.5679,0.3176,0.0,공무원연금법 시행령,20250826,,"수급자, 청년성장프로젝트, 견학, 성공취업, 34세, 20명, 이동, 관심있, 집결, 참여자, 기념품, 그리다, 우수자, 청년모아, 수료식",
13,1,"핵심 키워드: 방면, heraldbiz, 일간베스트, 헤럴드경제, 518민주화운동, 더메디컬, 랭킹, 3위, 워마드, 추천된, 폄훼, 정치비방, 더보기, 선택한다, 자율에.",지방세특례제한법 시행령,휴먼 검토,0.6745,0.349,0.3649,0.0,지방세특례제한법 시행령,20250826,,"방면, heraldbiz, 일간베스트, 헤럴드경제, 518민주화운동, 더메디컬, 랭킹, 3위, 워마드, 추천된, 폄훼, 정치비방, 더보기, 선택한다, 자율에",
13,2,"핵심 키워드: 방면, heraldbiz, 일간베스트, 헤럴드경제, 518민주화운동, 더메디컬, 랭킹, 3위, 워마드, 추천된, 폄훼, 정치비방, 더보기, 선택한다, 자율에.",국립묘지의 설치 및 운영에 관한 법률 시행규칙,보류,0.4583,0.3023,0.342,0.0,국립묘지의 설치 및 운영에 관한 법률 시행규칙,20250825,,"방면, heraldbiz, 일간베스트, 헤럴드경제, 518민주화운동, 더메디컬, 랭킹, 3위, 워마드, 추천된, 폄훼, 정치비방, 더보기, 선택한다, 자율에",
13,3,"핵심 키워드: 방면, heraldbiz, 일간베스트, 헤럴드경제, 518민주화운동, 더메디컬, 랭킹, 3위, 워마드, 추천된, 폄훼, 정치비방, 더보기, 선택한다, 자율에.",환경보건법 시행령,보류,0.4159,0.1711,0.3448,0.0,환경보건법 시행령,20250826,,"방면, heraldbiz, 일간베스트, 헤럴드경제, 518민주화운동, 더메디컬, 랭킹, 3위, 워마드, 추천된, 폄훼, 정치비방, 더보기, 선택한다, 자율에",
14,1,"핵심 키워드: 적시했다, 선거인, 국민신문고, 21대, 제256조, 유도인, 여성들, 제39대, 2천명, 속보, 참여한다, 217명, 후보자비방, 강동영, 불안해하고.",공문서에 대한 아포스티유 및 본부영사확인서 발급에 관한 규정 시행규칙,자동 확정,0.8005,0.601,0.3223,0.0,공문서에 대한 아포스티유 및 본부영사확인서 발급에 관한 규정 시행규칙,20250819,,"적시했다, 선거인, 국민신문고, 21대, 제256조, 유도인, 여성들, 제39대, 2천명, 속보, 참여한다, 217명, 후보자비방, 강동영, 불안해하고",
14,2,"핵심 키워드: 적시했다, 선거인, 국민신문고, 21대, 제256조, 유도인, 여성들, 제39대, 2천명, 속보, 참여한다, 217명, 후보자비방, 강동영, 불안해하고.",방송통신위원회의 설치 및 운영에 관한 법률,휴먼 검토,0.675,0.5595,0.3104,0.0,방송통신위원회의 설치 및 운영에 관한 법률,20250826,,"적시했다, 선거인, 국민신문고, 21대, 제256조, 유도인, 여성들, 제39대, 2천명, 속보, 참여한다, 217명, 후보자비방, 강동영, 불안해하고",
14,3,"핵심 키워드: 적시했다, 선거인, 국민신문고, 21대, 제256조, 유도인, 여성들, 제39대, 2천명, 속보, 참여한다, 217명, 후보자비방, 강동영, 불안해하고.",통일부와 그 소속기관 직제 시행규칙,휴먼 검토,0.6567,0.3822,0.3184,0.0,통일부와 그 소속기관 직제 시행규칙,20250821,,"적시했다, 선거인, 국민신문고, 21대, 제256조, 유도인, 여성들, 제39대, 2천명, 속보, 참여한다, 217명, 후보자비방, 강동영, 불안해하고",
15,1,"핵심 키워드: 고발인단, 성폭력, 불법정보, 여성청소년수사팀에, 제17조, 단체고발, tv, 경찰청, 발달에, 정신건강, 지상파, 참가신청, 20시, 3차, 대국민.",방송법,자동 확정,0.8135,0.8709,0.3144,3.8351,방송법,20250826,,"고발인단, 성폭력, 불법정보, 여성청소년수사팀에, 제17조, 단체고발, tv, 경찰청, 발달에, 정신건강, 지상파, 참가신청, 20시, 3차, 대국민",
15,2,"핵심 키워드: 고발인단, 성폭력, 불법정보, 여성청소년수사팀에, 제17조, 단체고발, tv, 경찰청, 발달에, 정신건강, 지상파, 참가신청, 20시, 3차, 대국민.",방송통신위원회의 설치 및 운영에 관한 법률,휴먼 검토,0.7036,0.4073,0.3261,0.0,방송통신위원회의 설치 및 운영에 관한 법률,20250826,,"고발인단, 성폭력, 불법정보, 여성청소년수사팀에, 제17조, 단체고발, tv, 경찰청, 발달에, 정신건강, 지상파, 참가신청, 20시, 3차, 대국민",
15,3,"핵심 키워드: 고발인단, 성폭력, 불법정보, 여성청소년수사팀에, 제17조, 단체고발, tv, 경찰청, 발달에, 정신건강, 지상파, 참가신청, 20시, 3차, 대국민.",경찰청과 그 소속기관 직제 시행규칙,휴먼 검토,0.5614,0.4983,0.3081,6.6064,경찰청과 그 소속기관 직제 시행규칙,20250923,,"고발인단, 성폭력, 불법정보, 여성청소년수사팀에, 제17조, 단체고발, tv, 경찰청, 발달에, 정신건강, 지상파, 참가신청, 20시, 3차, 대국민",
16,1,"핵심 키워드: 한겨레, 여성혐오, 토론회, 의원직, 비유, 진영, 단어, 생방송, 성기, 입에, 강간, 순화해서, 처럼, 앞세워, 제명에.",공문서에 대한 아포스티유 및 본부영사확인서 발급에 관한 규정 시행규칙,자동 확정,0.8322,0.6645,0.2081,0.0,공문서에 대한 아포스티유 및 본부영사확인서 발급에 관한 규정 시행규칙,20250819,,"한겨레, 여성혐오, 토론회, 의원직, 비유, 진영, 단어, 생방송, 성기, 입에, 강간, 순화해서, 처럼, 앞세워, 제명에",
16,2,"핵심 키워드: 한겨레, 여성혐오, 토론회, 의원직, 비유, 진영, 단어, 생방송, 성기, 입에, 강간, 순화해서, 처럼, 앞세워, 제명에.",헌법재판소 공무원 규칙,휴먼 검토,0.6471,0.369,0.2037,0.0,헌법재판소 공무원 규칙,20250821,,"한겨레, 여성혐오, 토론회, 의원직, 비유, 진영, 단어, 생방송, 성기, 입에, 강간, 순화해서, 처럼, 앞세워, 제명에",
16,3,"핵심 키워드: 한겨레, 여성혐오, 토론회, 의원직, 비유, 진영, 단어, 생방송, 성기, 입에, 강간, 순화해서, 처럼, 앞세워, 제명에.",방송법,휴먼 검토,0.6153,0.5781,0.1877,0.0,방송법,20250826,,"한겨레, 여성혐오, 토론회, 의원직, 비유, 진영, 단어, 생방송, 성기, 입에, 강간, 순화해서, 처럼, 앞세워, 제명에",
17,1,"핵심 키워드: 연도, 많았다, 2015, 사진들, media마다, 80장이다, facebook, 갯수, 배열되지, 습하다, 걸린다, 경찰서에, 1장, 올리지, 실내.",기상법 시행규칙,휴먼 검토,0.6451,0.2902,0.4124,5.3042,기상법 시행규칙,20250923,,"연도, 많았다, 2015, 사진들, media마다, 80장이다, facebook, 갯수, 배열되지, 습하다, 걸린다, 경찰서에, 1장, 올리지, 실내",
17,2,"핵심 키워드: 연도, 많았다, 2015, 사진들, media마다, 80장이다, facebook, 갯수, 배열되지, 습하다, 걸린다, 경찰서에, 1장, 올리지, 실내.",행정기본법 시행령,보류,0.4993,0.3809,0.3828,0.0,행정기본법 시행령,20250819,,"연도, 많았다, 2015, 사진들, media마다, 80장이다, facebook, 갯수, 배열되지, 습하다, 걸린다, 경찰서에, 1장, 올리지, 실내",
17,3,"핵심 키워드: 연도, 많았다, 2015, 사진들, media마다, 80장이다, facebook, 갯수, 배열되지, 습하다, 걸린다, 경찰서에, 1장, 올리지, 실내.",산림청과 그 소속기관 직제,보류,0.4275,0.1903,0.3864,5.012,산림청과 그 소속기관 직제,20250923,,"연도, 많았다, 2015, 사진들, media마다, 80장이다, facebook, 갯수, 배열되지, 습하다, 걸린다, 경찰서에, 1장, 올리지, 실내",
18,1,"핵심 키워드: 상고에, 박원순, 2022, 조민씨, 2년에, 국가인권위원회, 판결한, 서울시장에, 인정했던, 종결됐다, 심리불속행, 2심에, 아이브, 취소청구소송, 탈덕수용소.",우편법 시행규칙,휴먼 검토,0.688,0.376,0.3817,0.0,우편법 시행규칙,20250818,,"상고에, 박원순, 2022, 조민씨, 2년에, 국가인권위원회, 판결한, 서울시장에, 인정했던, 종결됐다, 심리불속행, 2심에, 아이브, 취소청구소송, 탈덕수용소",
18,2,"핵심 키워드: 상고에, 박원순, 2022, 조민씨, 2년에, 국가인권위원회, 판결한, 서울시장에, 인정했던, 종결됐다, 심리불속행, 2심에, 아이브, 취소청구소송, 탈덕수용소.",공무원연금법 시행령,보류,0.5252,0.2793,0.373,0.0,공무원연금법 시행령,20250826,,"상고에, 박원순, 2022, 조민씨, 2년에, 국가인권위원회, 판결한, 서울시장에, 인정했던, 종결됐다, 심리불속행, 2심에, 아이브, 취소청구소송, 탈덕수용소",
18,3,"핵심 키워드: 상고에, 박원순, 2022, 조민씨, 2년에, 국가인권위원회, 판결한, 서울시장에, 인정했던, 종결됐다, 심리불속행, 2심에, 아이브, 취소청구소송, 탈덕수용소.",관광진흥법 시행령,보류,0.3579,0.2868,0.3599,0.0,관광진흥법 시행령,20250826,,"상고에, 박원순, 2022, 조민씨, 2년에, 국가인권위원회, 판결한, 서울시장에, 인정했던, 종결됐다, 심리불속행, 2심에, 아이브, 취소청구소송, 탈덕수용소",
20,1,"핵심 키워드: 지분에, 김수현, 녹취파일, 팬입니다, 응원하, 일리, 벽산블루밍, 겨울방학, 40억, 탄원인, 가압류, 성관계, 2학년, 골드메달리스트, 사람들에.",제대혈 관리 및 연구에 관한 법률 시행령,휴먼 검토,0.7281,0.4561,0.3501,0.0,제대혈 관리 및 연구에 관한 법률 시행령,20250819,,"지분에, 김수현, 녹취파일, 팬입니다, 응원하, 일리, 벽산블루밍, 겨울방학, 40억, 탄원인, 가압류, 성관계, 2학년, 골드메달리스트, 사람들에",
20,2,"핵심 키워드: 지분에, 김수현, 녹취파일, 팬입니다, 응원하, 일리, 벽산블루밍, 겨울방학, 40억, 탄원인, 가압류, 성관계, 2학년, 골드메달리스트, 사람들에.",공문서에 대한 아포스티유 및 본부영사확인서 발급에 관한 규정 시행규칙,휴먼 검토,0.7112,0.6879,0.3407,0.0,공문서에 대한 아포스티유 및 본부영사확인서 발급에 관한 규정 시행규칙,20250819,,"지분에, 김수현, 녹취파일, 팬입니다, 응원하, 일리, 벽산블루밍, 겨울방학, 40억, 탄원인, 가압류, 성관계, 2학년, 골드메달리스트, 사람들에",
20,3,"핵심 키워드: 지분에, 김수현, 녹취파일, 팬입니다, 응원하, 일리, 벽산블루밍, 겨울방학, 40억, 탄원인, 가압류, 성관계, 2학년, 골드메달리스트, 사람들에.",온천법 시행령,보류,0.365,0.2233,0.3326,0.0,온천법 시행령,20250826,,"지분에, 김수현, 녹취파일, 팬입니다, 응원하, 일리, 벽산블루밍, 겨울방학, 40억, 탄원인, 가압류, 성관계, 2학년, 골드메달리스트, 사람들에",
21,1,"핵심 키워드: 까면, 복귀, 언론과, 공통점, 중요사건, 열람했다, 아침, 나라, 시작하던, 8기, 반복해서, 2억, 격려해주시면, 의미입니다, 전개됩니다.",공문서에 대한 아포스티유 및 본부영사확인서 발급에 관한 규정 시행규칙,자동 확정,0.7897,0.5793,0.3944,0.0,공문서에 대한 아포스티유 및 본부영사확인서 발급에 관한 규정 시행규칙,20250819,,"까면, 복귀, 언론과, 공통점, 중요사건, 열람했다, 아침, 나라, 시작하던, 8기, 반복해서, 2억, 격려해주시면, 의미입니다, 전개됩니다",
21,2,"핵심 키워드: 까면, 복귀, 언론과, 공통점, 중요사건, 열람했다, 아침, 나라, 시작하던, 8기, 반복해서, 2억, 격려해주시면, 의미입니다, 전개됩니다.",선거관리위원회 공무원 규칙,보류,0.4746,0.4851,0.3298,0.0,선거관리위원회 공무원 규칙,20250821,,"까면, 복귀, 언론과, 공통점, 중요사건, 열람했다, 아침, 나라, 시작하던, 8기, 반복해서, 2억, 격려해주시면, 의미입니다, 전개됩니다",
21,3,"핵심 키워드: 까면, 복귀, 언론과, 공통점, 중요사건, 열람했다, 아침, 나라, 시작하던, 8기, 반복해서, 2억, 격려해주시면, 의미입니다, 전개됩니다.",국립묘지의 설치 및 운영에 관한 법률 시행규칙,보류,0.3064,0.3967,0.2998,0.0,국립묘지의 설치 및 운영에 관한 법률 시행규칙,20250825,,"까면, 복귀, 언론과, 공통점, 중요사건, 열람했다, 아침, 나라, 시작하던, 8기, 반복해서, 2억, 격려해주시면, 의미입니다, 전개됩니다",
22,1,"핵심 키워드: 공수처, 정동훈, 다녀왔다, 노상원, 수사하, 수사해야, 유출됐다며, 특검팀, 수사에, 구치소, 외환, 공개돼, 국군정보사령관, 업무상, 유출한.",헌법재판소 공무원 규칙,자동 확정,0.7802,0.5764,0.4108,0.0,헌법재판소 공무원 규칙,20250821,,"공수처, 정동훈, 다녀왔다, 노상원, 수사하, 수사해야, 유출됐다며, 특검팀, 수사에, 구치소, 외환, 공개돼, 국군정보사령관, 업무상, 유출한",
